sequence_id,session_number,game_type,difficulty,accuracy,score,response_time,mistakes,accuracy_change,target_difficulty
21,3,Memory Match & Recall,Easy,98.0,6,4.29,0,11.46,Hard
21,4,Story & Conversation,Easy,98.0,10,3.36,0,0.0,Hard
21,5,Behaviour & Emotional Response,Medium,98.0,5,3.84,0,0.0,Hard
22,1,Memory Match & Recall,Easy,73.52,4,3.63,2,0.0,Easy
22,2,Behaviour & Emotional Response,Easy,87.61,7,5.06,1,14.09,Easy
22,3,Behaviour & Emotional Response,Medium,54.1,5,5.29,5,-33.51,Easy
22,4,Everyday Problem Solver,Easy,73.78,6,5.43,2,19.68,Easy
22,5,Memory Match & Recall,Hard,52.49,3,5.74,3,-21.29,Easy
23,1,Everyday Problem Solver,Medium,72.77,6,3.48,2,0.0,Hard
23,2,Behaviour & Emotional Response,Hard,55.07,6,5.29,4,-17.7,Hard
23,3,Behaviour & Emotional Response,Medium,66.65,4,7.09,2,11.58,Hard
23,4,Everyday Problem Solver,Hard,62.5,4,4.29,2,-4.15,Hard
23,5,My Life Memories,Easy,89.08,7,6.83,1,26.58,Hard
24,1,My Life Memories,Hard,54.37,3,5.28,3,0.0,Medium
24,2,Story & Conversation,Easy,94.59,5,3.39,0,40.22,Medium
24,3,My Life Memories,Hard,69.15,7,6.68,3,-25.44,Medium
24,4,Everyday Problem Solver,Easy,84.43,8,4.25,2,15.28,Medium
24,5,Story & Conversation,Easy,72.04,4,3.19,2,-12.39,Medium
25,1,Everyday Problem Solver,Easy,58.72,4,6.49,2,0.0,Easy
25,2,My Life Memories,Easy,59.13,3,4.0,2,0.41,Easy
25,3,Story & Conversation,Medium,60.0,6,6.75,4,0.87,Easy
25,4,Behaviour & Emotional Response,Easy,62.1,3,5.9,2,2.1,Easy
25,5,Memory Match & Recall,Hard,50.27,4,4.72,4,-11.83,Easy
26,1,Everyday Problem Solver,Medium,68.13,5,4.23,3,0.0,Medium
26,2,Memory Match & Recall,Easy,78.85,8,3.91,2,10.72,Medium
26,3,Story & Conversation,Medium,70.61,6,5.73,2,-8.24,Medium
26,4,My Life Memories,Medium,80.95,4,3.37,1,10.34,Medium
26,5,My Life Memories,Hard,73.73,4,3.37,2,-7.22,Medium
27,1,Story & Conversation,Easy,71.25,7,4.77,3,0.0,Medium
27,2,Memory Match & Recall,Medium,55.49,3,4.81,3,-15.76,Medium
27,3,Story & Conversation,Medium,57.77,5,4.33,3,2.28,Medium
27,4,Behaviour & Emotional Response,Easy,77.32,4,4.81,1,19.55,Medium
27,5,Story & Conversation,Medium,59.57,6,6.1,4,-17.75,Medium
28,1,Story & Conversation,Medium,69.49,6,5.7,2,0.0,Medium
28,2,Behaviour & Emotional Response,Easy,71.14,7,3.76,3,1.65,Medium
28,3,My Life Memories,Medium,72.09,4,5.66,2,0.95,Medium
28,4,Behaviour & Emotional Response,Medium,68.98,7,5.09,3,-3.11,Medium
28,5,Behaviour & Emotional Response,Hard,66.28,5,5.06,3,-2.7,Medium
29,1,Story & Conversation,Easy,76.99,6,4.12,2,0.0,Medium
29,2,My Life Memories,Medium,76.3,5,5.88,1,-0.69,Medium
29,3,Behaviour & Emotional Response,Medium,76.09,5,6.46,1,-0.21,Medium
29,4,Memory Match & Recall,Easy,82.83,7,5.16,1,6.74,Medium
29,5,Memory Match & Recall,Hard,60.34,4,6.21,2,-22.49,Medium
30,1,Story & Conversation,Easy,68.63,4,5.17,2,0.0,Medium
30,2,Everyday Problem Solver,Easy,64.64,4,6.99,2,-3.99,Medium
30,3,My Life Memories,Medium,55.01,3,3.6,2,-9.63,Medium
30,4,My Life Memories,Medium,69.5,4,5.89,2,14.49,Medium
30,5,My Life Memories,Medium,67.79,4,5.71,2,-1.71,Medium
31,1,Everyday Problem Solver,Medium,54.43,3,5.16,2,0.0,Medium
31,2,Memory Match & Recall,Medium,57.25,3,6.21,3,2.82,Medium
31,3,Everyday Problem Solver,Hard,49.93,5,4.91,5,-7.32,Medium
31,4,Memory Match & Recall,Medium,62.39,3,5.5,2,12.46,Medium
31,5,My Life Memories,Easy,72.43,7,3.43,3,10.04,Medium
32,1,Behaviour & Emotional Response,Hard,53.13,4,5.27,4,0.0,Medium
32,2,My Life Memories,Medium,62.33,6,5.28,4,9.2,Medium
32,3,Behaviour & Emotional Response,Medium,57.97,3,3.35,3,-4.36,Medium
32,4,My Life Memories,Medium,63.84,4,4.73,2,5.87,Medium
32,5,Story & Conversation,Medium,71.52,7,6.7,3,7.68,Medium
33,1,Everyday Problem Solver,Easy,81.91,4,4.32,1,0.0,Hard
33,2,Story & Conversation,Easy,78.35,6,4.35,2,-3.56,Hard
33,3,Story & Conversation,Hard,62.13,3,6.19,2,-16.22,Hard
33,4,Everyday Problem Solver,Easy,82.4,8,4.96,2,20.27,Hard
33,5,Everyday Problem Solver,Medium,88.06,4,4.67,1,5.66,Hard
34,1,My Life Memories,Medium,70.17,7,4.46,3,0.0,Hard
34,2,My Life Memories,Easy,78.87,8,4.38,2,8.7,Hard
34,3,My Life Memories,Hard,57.61,3,4.91,2,-21.26,Hard
34,4,Behaviour & Emotional Response,Medium,70.67,4,5.53,1,13.06,Hard
34,5,Story & Conversation,Easy,90.73,9,5.43,1,20.06,Hard
35,1,My Life Memories,Medium,87.69,5,5.85,1,0.0,Hard
35,2,My Life Memories,Easy,98.0,10,6.84,0,10.31,Hard
35,3,My Life Memories,Easy,98.0,8,3.21,0,0.0,Hard
35,4,My Life Memories,Medium,93.2,9,2.21,1,-4.8,Hard
35,5,Everyday Problem Solver,Hard,83.14,4,4.72,1,-10.06,Hard
36,1,My Life Memories,Medium,64.31,3,7.24,2,0.0,Hard
36,2,Memory Match & Recall,Medium,69.46,4,4.25,2,5.15,Hard
36,3,My Life Memories,Easy,69.87,6,5.03,2,0.41,Hard
36,4,My Life Memories,Easy,68.83,7,6.65,3,-1.04,Hard
36,5,Story & Conversation,Easy,85.33,9,3.75,1,16.5,Hard
37,1,Story & Conversation,Medium,42.43,4,5.02,6,0.0,Easy
37,2,Story & Conversation,Hard,31.23,3,4.14,7,-11.2,Easy
37,3,Memory Match & Recall,Medium,33.71,2,5.24,3,2.48,Easy
37,4,Story & Conversation,Easy,49.08,2,4.07,3,15.37,Easy
37,5,Memory Match & Recall,Medium,44.04,3,3.87,3,-5.04,Easy
38,1,Everyday Problem Solver,Hard,46.59,3,6.54,3,0.0,Hard
38,2,Everyday Problem Solver,Easy,73.63,4,3.06,1,27.04,Hard
38,3,Behaviour & Emotional Response,Hard,39.66,4,7.52,6,-33.97,Hard
38,4,Story & Conversation,Medium,64.36,4,4.09,2,24.7,Hard
38,5,Behaviour & Emotional Response,Medium,73.17,4,5.05,1,8.81,Hard
39,1,Everyday Problem Solver,Hard,66.09,3,8.24,2,0.0,Hard
39,2,Behaviour & Emotional Response,Easy,98.0,8,3.92,0,31.91,Hard
39,3,Behaviour & Emotional Response,Medium,86.52,9,5.58,1,-11.48,Hard
39,4,My Life Memories,Hard,78.4,5,4.51,1,-8.12,Hard
39,5,Memory Match & Recall,Medium,87.81,5,6.07,1,9.41,Hard
40,1,Memory Match & Recall,Medium,26.52,2,2.84,6,0.0,Easy
40,2,Behaviour & Emotional Response,Hard,21.5,1,6.99,4,-5.02,Easy
40,3,Story & Conversation,Medium,45.63,4,5.22,4,24.13,Easy
40,4,Memory Match & Recall,Medium,47.89,4,3.46,4,2.26,Easy
40,5,Memory Match & Recall,Hard,17.4,2,6.09,8,-30.49,Easy
41,1,Memory Match & Recall,Medium,65.56,5,2.49,3,0.0,Medium
41,2,My Life Memories,Medium,66.73,7,3.4,3,1.17,Medium
41,3,Everyday Problem Solver,Medium,72.78,6,5.36,2,6.05,Medium
41,4,Behaviour & Emotional Response,Hard,52.62,5,5.26,5,-20.16,Medium
41,5,My Life Memories,Medium,65.41,5,4.9,3,12.79,Medium
42,1,Story & Conversation,Hard,56.41,3,6.45,2,0.0,Hard
42,2,Story & Conversation,Hard,60.65,4,4.86,2,4.24,Hard
42,3,My Life Memories,Medium,76.68,8,3.64,2,16.03,Hard
42,4,Story & Conversation,Easy,85.51,7,2.88,1,8.83,Hard
42,5,Everyday Problem Solver,Medium,92.12,7,4.81,1,6.61,Hard
43,1,Story & Conversation,Easy,60.79,5,4.38,3,0.0,Easy
43,2,Behaviour & Emotional Response,Easy,59.68,4,5.26,2,-1.11,Easy
43,3,Memory Match & Recall,Easy,67.05,7,3.83,3,7.37,Easy
43,4,My Life Memories,Medium,50.55,3,4.77,3,-16.5,Easy
43,5,My Life Memories,Medium,41.69,4,3.35,6,-8.86,Easy
44,1,My Life Memories,Medium,90.37,5,4.48,0,0.0,Medium
44,2,Story & Conversation,Easy,95.46,6,4.61,0,5.09,Medium
44,3,Story & Conversation,Medium,98.0,8,6.06,0,2.54,Medium
44,4,My Life Memories,Medium,84.24,7,3.68,1,-13.76,Medium
44,5,My Life Memories,Hard,64.86,5,6.03,3,-19.38,Medium
45,1,Story & Conversation,Medium,40.12,3,4.4,5,0.0,Easy
45,2,Story & Conversation,Easy,53.67,3,6.6,2,13.55,Easy
45,3,Everyday Problem Solver,Easy,66.94,4,4.45,2,13.27,Easy
45,4,Everyday Problem Solver,Easy,72.03,7,4.52,3,5.09,Easy
45,5,Story & Conversation,Medium,49.49,4,6.93,4,-22.54,Easy
46,1,Memory Match & Recall,Hard,49.86,4,5.67,4,0.0,Hard
46,2,Everyday Problem Solver,Medium,64.33,5,3.33,3,14.47,Hard
46,3,Memory Match & Recall,Medium,76.64,5,7.18,1,12.31,Hard
46,4,Story & Conversation,Easy,74.19,4,5.08,1,-2.45,Hard
46,5,Behaviour & Emotional Response,Easy,80.18,5,3.77,1,5.99,Hard
47,1,My Life Memories,Easy,55.93,3,4.61,2,0.0,Easy
47,2,Behaviour & Emotional Response,Easy,57.63,6,4.86,4,1.7,Easy
47,3,My Life Memories,Easy,63.81,3,4.2,2,6.18,Easy
47,4,Story & Conversation,Hard,38.17,4,5.3,6,-25.64,Easy
47,5,Memory Match & Recall,Hard,49.65,5,6.5,5,11.48,Easy
48,1,My Life Memories,Easy,55.93,3,5.45,2,0.0,Easy
48,2,Everyday Problem Solver,Easy,46.82,4,5.28,4,-9.11,Easy
48,3,Memory Match & Recall,Hard,32.36,2,6.73,3,-14.46,Easy
48,4,Behaviour & Emotional Response,Medium,45.26,3,2.97,3,12.9,Easy
48,5,Behaviour & Emotional Response,Medium,41.57,4,5.23,6,-3.69,Easy
49,1,Story & Conversation,Hard,46.47,5,6.69,5,0.0,Hard
49,2,Story & Conversation,Medium,55.43,3,4.98,2,8.96,Hard
49,3,Behaviour & Emotional Response,Hard,47.63,2,5.14,3,-7.8,Hard
49,4,Everyday Problem Solver,Medium,68.68,5,3.92,3,21.05,Hard
49,5,Memory Match & Recall,Easy,77.59,5,5.59,1,8.91,Hard
50,1,Behaviour & Emotional Response,Easy,66.36,3,3.11,2,0.0,Medium
50,2,My Life Memories,Medium,56.03,6,6.78,4,-10.33,Medium
50,3,Story & Conversation,Easy,49.52,4,3.65,4,-6.51,Medium
50,4,Story & Conversation,Medium,59.31,6,4.78,4,9.79,Medium
50,5,Memory Match & Recall,Medium,59.57,5,4.3,3,0.26,Medium
51,1,Behaviour & Emotional Response,Medium,60.36,4,6.42,2,0.0,Medium
51,2,My Life Memories,Easy,74.33,4,4.81,2,13.97,Medium
51,3,Everyday Problem Solver,Hard,49.83,3,5.32,3,-24.5,Medium
51,4,Memory Match & Recall,Easy,73.2,6,4.89,2,23.37,Medium
51,5,Behaviour & Emotional Response,Medium,64.77,5,5.33,3,-8.43,Medium
52,1,My Life Memories,Easy,98.0,8,3.82,0,0.0,Hard
52,2,My Life Memories,Hard,87.84,9,5.11,1,-10.16,Hard
52,3,My Life Memories,Easy,91.9,5,3.06,0,4.06,Hard
52,4,My Life Memories,Medium,84.41,7,4.4,1,-7.49,Hard
52,5,Memory Match & Recall,Easy,98.0,5,6.23,0,13.59,Hard
53,1,Story & Conversation,Medium,63.59,4,5.99,2,0.0,Medium
53,2,My Life Memories,Medium,53.14,5,5.36,5,-10.45,Medium
53,3,Story & Conversation,Easy,82.53,8,2.57,2,29.39,Medium
53,4,My Life Memories,Hard,64.27,6,6.19,4,-18.26,Medium
53,5,Story & Conversation,Medium,68.41,5,5.71,3,4.14,Medium
54,1,Memory Match & Recall,Hard,83.15,7,5.93,1,0.0,Hard
54,2,My Life Memories,Medium,92.8,7,3.74,1,9.65,Hard
54,3,My Life Memories,Hard,90.04,5,4.55,0,-2.76,Hard
54,4,My Life Memories,Easy,98.0,8,3.64,0,7.96,Hard
54,5,Story & Conversation,Easy,98.0,10,4.62,0,0.0,Hard
55,1,Behaviour & Emotional Response,Hard,60.5,3,5.49,2,0.0,Hard
55,2,Behaviour & Emotional Response,Medium,71.19,4,4.4,1,10.69,Hard
55,3,Everyday Problem Solver,Medium,80.83,8,5.76,2,9.64,Hard
55,4,My Life Memories,Medium,74.53,4,5.95,2,-6.3,Hard
55,5,Story & Conversation,Medium,89.7,7,5.28,1,15.17,Hard
56,1,My Life Memories,Hard,71.51,7,4.23,3,0.0,Hard
56,2,Memory Match & Recall,Easy,88.98,5,6.08,1,17.47,Hard
56,3,Everyday Problem Solver,Easy,98.0,5,4.15,0,9.02,Hard
56,4,Behaviour & Emotional Response,Medium,94.33,6,3.39,0,-3.67,Hard
56,5,Memory Match & Recall,Medium,98.0,5,4.87,0,3.67,Hard
57,1,Everyday Problem Solver,Medium,66.0,5,5.55,3,0.0,Easy
57,2,Behaviour & Emotional Response,Medium,64.48,6,4.04,4,-1.52,Easy
57,3,My Life Memories,Hard,55.47,3,8.11,3,-9.01,Easy
57,4,My Life Memories,Medium,74.21,7,6.82,3,18.74,Easy
57,5,Everyday Problem Solver,Hard,52.57,3,4.69,3,-21.64,Easy
58,1,Memory Match & Recall,Easy,68.45,7,5.77,3,0.0,Medium
58,2,Story & Conversation,Hard,37.46,3,7.84,5,-30.99,Medium
58,3,Memory Match & Recall,Easy,70.17,6,3.93,2,32.71,Medium
58,4,Behaviour & Emotional Response,Medium,56.54,6,3.06,4,-13.63,Medium
58,5,Everyday Problem Solver,Medium,69.05,7,5.04,3,12.51,Medium
59,1,Story & Conversation,Easy,42.88,4,4.25,6,0.0,Easy
59,2,My Life Memories,Hard,40.16,2,5.67,4,-2.72,Easy
59,3,Everyday Problem Solver,Medium,34.63,2,4.93,4,-5.53,Easy
59,4,My Life Memories,Easy,53.51,5,1.5,5,18.88,Easy
59,5,My Life Memories,Medium,46.32,3,4.85,3,-7.19,Easy
60,1,My Life Memories,Hard,69.54,4,7.1,2,0.0,Hard
60,2,Behaviour & Emotional Response,Hard,58.33,5,4.51,3,-11.21,Hard
60,3,Memory Match & Recall,Hard,76.88,8,5.76,2,18.55,Hard
60,4,Memory Match & Recall,Medium,75.03,8,4.87,2,-1.85,Hard
60,5,Memory Match & Recall,Medium,77.63,8,4.71,2,2.6,Hard
61,1,Everyday Problem Solver,Easy,58.11,5,4.5,3,0.0,Hard
61,2,Story & Conversation,Medium,49.63,5,4.25,5,-8.48,Hard
61,3,Memory Match & Recall,Hard,43.03,4,5.65,6,-6.6,Hard
61,4,Story & Conversation,Medium,64.92,6,1.8,4,21.89,Hard
61,5,Behaviour & Emotional Response,Easy,73.94,4,5.9,1,9.02,Hard
62,1,Everyday Problem Solver,Medium,26.84,2,4.84,6,0.0,Medium
62,2,Everyday Problem Solver,Medium,21.95,2,4.39,8,-4.89,Medium
62,3,Memory Match & Recall,Medium,25.24,1,7.4,4,3.29,Medium
62,4,My Life Memories,Easy,49.01,4,6.13,4,23.77,Medium
62,5,Memory Match & Recall,Easy,49.23,2,3.25,3,0.22,Medium
63,1,Story & Conversation,Medium,55.07,6,3.59,4,0.0,Medium
63,2,Everyday Problem Solver,Easy,67.91,7,4.17,3,12.84,Medium
63,3,Behaviour & Emotional Response,Medium,52.88,3,5.93,3,-15.03,Medium
63,4,Everyday Problem Solver,Easy,69.3,7,4.01,3,16.42,Medium
63,5,Behaviour & Emotional Response,Medium,65.09,7,3.68,3,-4.21,Medium
64,1,Behaviour & Emotional Response,Easy,82.8,8,3.97,2,0.0,Hard
64,2,Story & Conversation,Medium,72.7,4,3.42,1,-10.1,Hard
64,3,My Life Memories,Hard,65.78,4,5.55,2,-6.92,Hard
64,4,Memory Match & Recall,Medium,70.6,6,6.19,2,4.82,Hard
64,5,Behaviour & Emotional Response,Easy,81.01,8,2.66,2,10.41,Hard
65,1,Story & Conversation,Medium,40.29,3,3.64,5,0.0,Easy
65,2,Everyday Problem Solver,Hard,36.68,4,3.51,6,-3.61,Easy
65,3,Memory Match & Recall,Easy,59.83,5,4.77,3,23.15,Easy
65,4,Behaviour & Emotional Response,Easy,50.57,4,3.94,4,-9.26,Easy
65,5,Memory Match & Recall,Hard,33.05,3,5.99,7,-17.52,Easy
66,1,Story & Conversation,Easy,87.23,4,4.48,1,0.0,Hard
66,2,Behaviour & Emotional Response,Medium,75.87,6,4.82,2,-11.36,Hard
66,3,Everyday Problem Solver,Medium,81.4,7,2.8,1,5.53,Hard
66,4,Everyday Problem Solver,Medium,72.96,6,5.81,2,-8.44,Hard
66,5,Everyday Problem Solver,Medium,83.57,4,4.61,1,10.61,Hard
67,1,Story & Conversation,Medium,62.36,3,4.35,2,0.0,Medium
67,2,Behaviour & Emotional Response,Medium,57.11,3,5.28,3,-5.25,Medium
67,3,Memory Match & Recall,Hard,45.41,4,6.43,4,-11.7,Medium
67,4,My Life Memories,Easy,64.56,4,5.72,2,19.15,Medium
67,5,Behaviour & Emotional Response,Hard,57.11,5,6.15,3,-7.45,Medium
68,1,Behaviour & Emotional Response,Medium,84.73,7,6.04,1,0.0,Hard
68,2,Everyday Problem Solver,Easy,75.2,8,2.86,2,-9.53,Hard
68,3,Story & Conversation,Medium,73.99,6,4.94,2,-1.21,Hard
68,4,Memory Match & Recall,Medium,82.35,4,3.97,1,8.36,Hard
68,5,Everyday Problem Solver,Medium,81.86,5,3.94,1,-0.49,Hard
69,1,My Life Memories,Hard,30.39,2,4.95,6,0.0,Medium
69,2,Memory Match & Recall,Medium,44.22,2,3.98,3,13.83,Medium
69,3,Story & Conversation,Medium,60.15,6,3.88,4,15.93,Medium
69,4,Story & Conversation,Medium,71.12,6,5.52,2,10.97,Medium
69,5,Behaviour & Emotional Response,Medium,57.94,5,4.01,3,-13.18,Medium
70,1,Memory Match & Recall,Medium,67.05,7,5.11,3,0.0,Hard
70,2,Memory Match & Recall,Medium,87.37,7,4.69,1,20.32,Hard
70,3,Behaviour & Emotional Response,Easy,90.4,5,3.43,0,3.03,Hard
70,4,My Life Memories,Hard,62.79,5,7.92,3,-27.61,Hard
70,5,My Life Memories,Easy,82.74,4,6.51,1,19.95,Hard
71,1,Memory Match & Recall,Easy,77.24,8,5.14,2,0.0,Hard
71,2,Memory Match & Recall,Easy,87.95,5,5.04,1,10.71,Hard
71,3,My Life Memories,Medium,64.19,6,4.11,4,-23.76,Hard
71,4,Behaviour & Emotional Response,Medium,73.63,4,4.82,2,9.44,Hard
71,5,My Life Memories,Medium,80.34,8,5.07,2,6.71,Hard
72,1,Behaviour & Emotional Response,Medium,42.25,3,5.89,5,0.0,Easy
72,2,Memory Match & Recall,Medium,44.83,3,6.44,3,2.58,Easy
72,3,My Life Memories,Medium,47.97,3,5.67,3,3.14,Easy
72,4,Story & Conversation,Easy,54.05,4,2.57,4,6.08,Easy
72,5,Behaviour & Emotional Response,Hard,36.55,3,6.26,5,-17.5,Easy
73,1,Memory Match & Recall,Medium,56.41,3,3.75,3,0.0,Medium
73,2,Memory Match & Recall,Hard,59.89,6,5.77,4,3.48,Medium
73,3,Memory Match & Recall,Medium,71.16,4,4.96,1,11.27,Medium
73,4,Memory Match & Recall,Medium,68.75,4,6.08,2,-2.41,Medium
